msoa11cd,PTAI
E02000001,4.858553091
E02000002,0.290854312
E02000003,6.985213308
E02000004,4.859534169
E02000005,1.901568913
E02000007,2.892130766
E02000008,5.683316367
E02000009,3.336063815
E02000010,6.075675371
E02000011,10.08453037
E02000012,0.873818505
E02000013,7.154867352
E02000014,3.451581596
E02000015,5.093406692
E02000016,8.514480092
E02000017,8.480535713
E02000018,14.6280507
E02000019,9.401226985
E02000020,8.556915854
E02000021,5.709854892
E02000022,8.472032329
E02000023,2.942318494
E02000024,4.271523087
E02000025,5.012261349
E02000026,7.325932569
E02000027,5.455417335
E02000028,17.14991808
E02000029,2.909372091
E02000030,11.78719033
E02000031,6.64940462
E02000032,5.14680207
E02000033,7.586716576
E02000034,26.44899281
E02000035,10.19015492
E02000036,9.195243033
E02000037,2.820122046
E02000038,5.602078541
E02000039,3.632206335
E02000040,17.6091403
E02000041,9.381338575
E02000042,18.3674905
E02000043,9.285435274
E02000044,9.458753717
E02000045,5.51964788
E02000046,3.037676518
E02000047,6.490171406
E02000048,13.71183333
E02000049,3.624566097
E02000050,6.868772159
E02000051,11.008397
E02000052,2.868500799
E02000053,13.6433286
E02000054,6.398522519
E02000055,10.65808106
E02000056,8.148083473
E02000057,11.97247644
E02000058,7.753901428
E02000059,1.686866712
E02000060,7.511134118
E02000061,11.1610558
E02000062,8.031260006
E02000063,5.881311205
E02000064,5.652547318
E02000065,5.666843952
E02000066,4.824719007
E02000067,7.575712438
E02000068,3.835684669
E02000069,8.540259351
E02000070,7.434092073
E02000071,11.45991914
E02000072,3.67031154
E02000073,12.02412728
E02000074,7.086356603
E02000075,2.295514133
E02000077,3.844373384
E02000078,0.740576225
E02000079,3.307931705
E02000080,6.183199729
E02000081,6.039795568
E02000082,4.756242524
E02000083,10.72067645
E02000084,2.237972781
E02000085,7.115618404
E02000086,6.458090776
E02000087,11.64179615
E02000088,15.99275672
E02000089,5.830092588
E02000090,11.46300933
E02000091,8.581046994
E02000092,0.354135606
E02000093,5.383231142
E02000094,1.497275556
E02000095,3.536713074
E02000096,9.729369208
E02000097,5.20353727
E02000098,15.54994519
E02000099,15.96746096
E02000100,4.968332356
E02000101,11.02814444
E02000102,4.228830116
E02000103,10.05890649
E02000104,11.46778708
E02000105,3.258962416
E02000106,8.953943801
E02000107,5.380633311
E02000108,15.73625881
E02000109,5.259046561
E02000110,4.403779051
E02000111,3.652124324
E02000112,7.158028214
E02000113,21.47686061
E02000114,11.58908318
E02000115,5.776365371
E02000116,1.025752946
E02000117,3.132045217
E02000118,1.725830529
E02000119,9.034055436
E02000120,11.36666546
E02000121,4.842157656
E02000122,12.9659139
E02000123,6.902258952
E02000124,8.75457167
E02000125,15.81584022
E02000126,6.795859621
